State,Total
Alabama,1828.25
Arizona,11133.537
Arkansas,2707.64
California,146388.3445
Colorado,10299.813
Connecticut,5307.21
Delaware,13754.983
District of Columbia,77.76
Florida,26444.7155
Georgia,19160.02
Idaho,1233.548
Illinois,24351.611
Indiana,18516.45
Iowa,716.41
Kansas,733.15
Kentucky,15534.84
Louisiana,5501.55
Maryland,9451.6
Massachusetts,8143.076
Michigan,25833.649
Minnesota,6728.25
Mississippi,2997.24
Missouri,9350.8
Montana,4229.28
Nebraska,3579.35
Nevada,3138.158
New Hampshire,1509.43
New Jersey,9483.55
New Mexico,2818.558
New York,93922.995
North Carolina,23456.829
North Dakota,919.91
Ohio,23264.85
Oklahoma,6225.91
Oregon,2886.593
Pennsylvania,42688.306
Rhode Island,3427.11
South Carolina,1560.75
South Dakota,1153.41
Tennessee,16113.823
Texas,43421.7582
Utah,2460.638
Vermont,842.21
Virginia,7600.2
Washington,65539.896
West Virginia,1209.824
Wisconsin,5567.47
(blank),